2026-04-18 13:03:43 | INFO | pid=31016 | thread=MainThread | app.reco.startup | Starting two-tower full rebuild
2026-04-18 13:03:46 | INFO | pid=31016 | thread=MainThread | app.reco.startup | Two-tower rebuild finished, items=140518, index_path=data/two_tower_items.hnsw
2026-04-18 13:03:46 | INFO | pid=31016 | thread=MainThread | app.reco.recall.two_tower.runtime | Two-tower runtime loaded, model_path=data/models/two_tower_latest.pt, index_path=data/two_tower_items.hnsw
2026-04-18 13:03:47 | INFO | pid=31016 | thread=MainThread | app.reco.startup | Global recommendation pipeline initialized
2026-04-18 13:03:47 | INFO | pid=31016 | thread=MainThread | faiss.loader | Loading faiss with AVX2 support.
2026-04-18 13:03:47 | INFO | pid=31016 | thread=MainThread | faiss.loader | Successfully loaded faiss with AVX2 support.
2026-04-18 13:04:12 | INFO | pid=31016 | thread=MainThread | app.reco.rag_service | RAG index loaded from MySQL, state=ready, source_rows=140518, indexed_rows=140518
2026-04-18 13:04:12 | INFO | pid=31016 | thread=MainThread | app.reco.startup | Global RAG service initialized
2026-04-18 13:06:19 | INFO | pid=31016 | thread=MainThread | app.reco.startup | Startup cache precompute finished, summary={'features': {'movie_features': 140519, 'user_features': 639126}, 'trending': {'daily': 200, 'weekly': 200, 'monthly': 200, 'half_year': 200, 'one_year': 200, 'all_time': 200}, 'tag_recall': {'enabled': 1, 'skipped': 0, 'genre_keys': 29082, 'director_keys': 10427, 'keys_written': 39509, 'members_written': 353856}}
2026-04-18 13:06:19 | INFO | pid=31016 | thread=MainThread | app.reco.startup | Startup warmup completed
2026-04-18 13:06:19 | INFO | pid=31016 | thread=reco-two-tower-refresh-worker | app.reco.startup | Two-tower refresh worker begins, interval_seconds=86400
2026-04-18 13:06:19 | INFO | pid=31016 | thread=reco-cache-precompute-worker | app.reco.startup | Cache precompute worker begins, interval_seconds=600
2026-04-18 13:06:19 | INFO | pid=31016 | thread=MainThread | app | 应用初始化完成，接口前缀=/api/v1
2026-04-18 13:06:19 | INFO | pid=31016 | thread=reco-rag-rebuild-worker | app.reco.startup | RAG rebuild worker begins
2026-04-18 13:06:19 | INFO | pid=31016 | thread=reco-rag-rebuild-worker | app.ops.rag_embedding_worker | RAG rebuild worker started, polling_interval_seconds=3.0
2026-04-18 13:06:19 | INFO | pid=31016 | thread=reco-train-queue-worker | app.reco.startup | Train queue worker begins
